i,j,dist_km
Ukraine,Austria,1053.467474
Ukraine,Denmark,1327.903663
Ukraine,France,2023.479935
Ukraine,Germany,1204.451555
Ukraine,Hungary,898.9615747
Ukraine,Moldova,401.3406989
Ukraine,Belgium,1836.057291
Ukraine,Poland,689.0895988
Ukraine,Switzerland,1730.157382
Ukraine,Romania,747.421623
Ukraine,Slovakia,1004.327545
Ukraine,UnitedStates,7832.641833
Austria,Ukraine,1053.467474
Austria,Denmark,870.0651058
Austria,France,1033.492277
Austria,Germany,523.5449954
Austria,Hungary,214.0442817
Austria,Moldova,944.6635998
Austria,Belgium,914.8027111
Austria,Poland,555.5165164
Austria,Switzerland,683.6563073
Austria,Romania,856.4181992
Austria,Slovakia,54.81780657
Austria,UnitedStates,7123.273005
Denmark,Ukraine,1327.903663
Denmark,Austria,870.0651058
Denmark,France,1026.690949
Denmark,Germany,355.1504583
Denmark,Hungary,1012.322682
Denmark,Moldova,1480.00169
Denmark,Belgium,764.9421549
Denmark,Poland,671.6760575
Denmark,Switzerland,1033.03064
Denmark,Romania,1574.809795
Denmark,Slovakia,892.5802854
Denmark,UnitedStates,6510.750756
France,Ukraine,2023.479935
France,Austria,1033.492277
France,Denmark,1026.690949
France,Germany,877.4633259
France,Hungary,1244.014526
France,Moldova,1975.609695
France,Belgium,263.9754164
France,Poland,1366.549931
France,Switzerland,434.958482
France,Romania,1870.28395
France,Slovakia,1088.257718
France,UnitedStates,6164.8106
Germany,Ukraine,1204.451555
Germany,Austria,523.5449954
Germany,Denmark,355.1504583
Germany,France,877.4633259
Germany,Hungary,688.033204
Germany,Moldova,1264.431046
Germany,Belgium,650.6479664
Germany,Poland,517.1719439
Germany,Switzerland,752.5694191
Germany,Romania,1294.986571
Germany,Slovakia,552.3981184
Germany,UnitedStates,6710.208732
Hungary,Ukraine,898.9615747
Hungary,Austria,214.0442817
Hungary,Denmark,1012.322682
Hungary,France,1244.014526
Hungary,Germany,688.033204
Hungary,Moldova,742.8977714
Hungary,Belgium,1128.673364
Hungary,Poland,544.7518927
Hungary,Switzerland,876.7758239
Hungary,Romania,643.510939
Hungary,Slovakia,161.3972113
Hungary,UnitedStates,7334.370578
Moldova,Ukraine,401.3406989
Moldova,Austria,944.6635998
Moldova,Denmark,1480.00169
Moldova,France,1975.609695
Moldova,Germany,1264.431046
Moldova,Hungary,742.8977714
Moldova,Belgium,1831.649659
Moldova,Poland,809.5016333
Moldova,Switzerland,1619.668776
Moldova,Romania,358.4080519
Moldova,Slovakia,889.9380657
Moldova,UnitedStates,7972.334007
Belgium,Ukraine,1836.057291
Belgium,Austria,914.8027111
Belgium,Denmark,764.9421549
Belgium,France,263.9754164
Belgium,Germany,650.6479664
Belgium,Hungary,1128.673364
Belgium,Moldova,1831.649659
Belgium,Poland,1159.766772
Belgium,Switzerland,489.2699828
Belgium,Romania,1770.776249
Belgium,Slovakia,967.4742789
Belgium,UnitedStates,6215.92015
Poland,Ukraine,689.0895988
Poland,Austria,555.5165164
Poland,Denmark,671.6760575
Poland,France,1366.549931
Poland,Germany,517.1719439
Poland,Hungary,544.7518927
Poland,Moldova,809.5016333
Poland,Belgium,1159.766772
Poland,Switzerland,1137.961028
Poland,Romania,945.1569983
Poland,Slovakia,531.9869738
Poland,UnitedStates,7177.604303
Switzerland,Ukraine,1730.157382
Switzerland,Austria,683.6563073
Switzerland,Denmark,1033.03064
Switzerland,France,434.958482
Switzerland,Germany,752.5694191
Switzerland,Hungary,876.7758239
Switzerland,Moldova,1619.668776
Switzerland,Belgium,489.2699828
Switzerland,Poland,1137.961028
Switzerland,Romania,1472.246388
Switzerland,Slovakia,736.7032838
Switzerland,UnitedStates,6597.836257
Romania,Ukraine,747.421623
Romania,Austria,856.4181992
Romania,Denmark,1574.809795
Romania,France,1870.28395
Romania,Germany,1294.986571
Romania,Hungary,643.510939
Romania,Moldova,358.4080519
Romania,Belgium,1770.776249
Romania,Poland,945.1569983
Romania,Switzerland,1472.246388
Romania,Slovakia,804.8209862
Romania,UnitedStates,7977.230903
Slovakia,Ukraine,1004.327545
Slovakia,Austria,54.81780657
Slovakia,Denmark,892.5802854
Slovakia,France,1088.257718
Slovakia,Germany,552.3981184
Slovakia,Hungary,161.3972113
Slovakia,Moldova,889.9380657
Slovakia,Belgium,967.4742789
Slovakia,Poland,531.9869738
Slovakia,Switzerland,736.7032838
Slovakia,Romania,804.8209862
Slovakia,UnitedStates,7173.530574
UnitedStates,Ukraine,7832.641833
UnitedStates,Austria,7123.273005
UnitedStates,Denmark,6510.750756
UnitedStates,France,6164.8106
UnitedStates,Germany,6710.208732
UnitedStates,Hungary,7334.370578
UnitedStates,Moldova,7972.334007
UnitedStates,Belgium,6215.92015
UnitedStates,Poland,7177.604303
UnitedStates,Switzerland,6597.836257
UnitedStates,Romania,7977.230903
UnitedStates,Slovakia,7173.530574
