t,level,marginal,lower,upper,scale
0,1.0,-0.0,0.0,1.0,1.0
1,1.368625626146224e-05,0.0,0.0,1.0,1.0
2,0.11911471175296466,0.0,0.0,1.0,1.0
3,0.6724723445748293,0.0,0.0,1.0,1.0
4,0.7908576851595555,0.0,0.0,1.0,1.0
5,0.8942144326209428,0.0,0.0,1.0,1.0
6,0.8287063893262616,0.0,0.0,1.0,1.0
7,0.9239155541183536,0.0,0.0,1.0,1.0
8,0.8713078330574191,0.0,0.0,1.0,1.0
9,0.9075645505286556,0.0,0.0,1.0,1.0
10,1.0,-0.0,0.0,1.0,1.0
11,1.0,-0.0,0.0,1.0,1.0
12,1.0,-0.0,0.0,1.0,1.0
13,1.0,-0.0,0.0,1.0,1.0
14,1.0,-0.0,0.0,1.0,1.0
15,1.0,-0.0,0.0,1.0,1.0
16,1.0,-0.0,0.0,1.0,1.0
17,1.0,-0.0,0.0,1.0,1.0
18,1.0,-0.0,0.0,1.0,1.0
19,1.0,-0.0,0.0,1.0,1.0
20,1.0,-0.0,0.0,1.0,1.0
21,1.0,-0.0,0.0,1.0,1.0
22,1.0,-0.0,0.0,1.0,1.0
23,1.0,-0.0,0.0,1.0,1.0
24,1.0,-0.0,0.0,1.0,1.0
25,1.0,-0.0,0.0,1.0,1.0
26,1.0,-0.0,0.0,1.0,1.0
27,1.0,-0.0,0.0,1.0,1.0
28,1.0,-0.0,0.0,1.0,1.0
29,1.0,-0.0,0.0,1.0,1.0
30,1.0,-0.0,0.0,1.0,1.0
31,1.0,-0.0,0.0,1.0,1.0
